,Leaning,Source,Topic,Allsides,ArticleUrl,md5,notes
75,R,The Daily Caller,Trust in mass media,https://www.allsides.com/story/2017-media-and-donald-trump,http://dailycaller.com/2017/12/27/media-coverage-in-2017-marked-by-bombshells-that-werent/,39193D6BD01E9F07F75EF27E628F4871,
76,R,The Daily Caller,Immigration,https://www.allsides.com/story/alexandria-ocasio-cortez-compares-detention-centers-illegal-immigrants-concentration-camps,https://dailycaller.com/2019/06/18/border-patrol-ocasio-cortez-camp/,DE9EA7CBEB6A70363B52C13C767A83F1,
77,R,The Daily Caller,Death penalty,https://www.allsides.com/story/pope-francis-declares-death-penalty-inadmissible-all-cases-changing-catholic-church-teaching,http://dailycaller.com/2018/08/02/pope-francis-death-penalty/,63AB028CDBD9F59BDDCBB7E1B5BAECC5,
78,R,The Daily Caller,Environment,https://www.allsides.com/story/starbucks-ban-all-plastic-straws-2020,http://dailycaller.com/2018/07/09/starbucks-straw-ban/,E077A43B863F03E408D358CDA57424DE,
79,R,The Federalist,Immigration,https://www.allsides.com/story/statue-liberty-poem-revised,,,
80,L,The Guardian,Trust in mass media,https://www.allsides.com/story/2017-media-and-donald-trump,,,
81,C,The Hill,Trust in mass media,https://www.allsides.com/story/2017-media-and-donald-trump,http://thehill.com/homenews/administration/366608-war-between-trump-media-set-to-intensify,6053F1B0AA6917D596C04FD994D1B728,
82,C,The Hill,Immigration,https://www.allsides.com/story/alexandria-ocasio-cortez-compares-detention-centers-illegal-immigrants-concentration-camps,https://thehill.com/homenews/house/449221-ocasio-cortez-under-fire-for-concentration-camp-remarks,B30D17C2C51E6A38A1EC4791FD55D7AD,
83,C,The Hill,Trust in mass media,https://www.allsides.com/story/distorted-videos-nancy-pelosi-spread-across-social-media,https://thehill.com/homenews/media/445536-msnbcs-wallace-doctors-video-of-herself-showing-how-trump-tried-to-smear,149D37E5B3491F84170DEC76680BF5FE,
84,C,The Hill,Taxes on upper-income,https://www.allsides.com/story/millionaires-tell-congress-raise-taxes-rich,http://thehill.com/policy/finance/360060-millionaires-and-billionaires-to-urge-congress-not-to-cut-their-taxes,572B3725F008331B5FBA6F7BAA0E8106,
85,C,The Hill,K-12 education,https://www.allsides.com/story/trump-admin-moves-rescind-obama-era-policies-school-discipline,https://thehill.com/homenews/administration/421801-trump-admin-to-roll-back-obama-era-policy-aimed-at-reducing-racial,DF938C521CF0986CBD591C7AE9CCE543,
86,C,The Hill,Environment,https://www.allsides.com/story/trump-administration-proposes-plan-roll-back-clean-water-regulations,https://thehill.com/policy/energy-environment/420775-trump-moves-to-relax-obama-era-water-protections,4FF0C6C526191A6E87AA89BEDC9D2A1E,
87,C,The Hill,Israel,https://www.allsides.com/story/us-blocks-united-nations-resolution-calling-probe-gaza-violence,http://thehill.com/homenews/administration/387718-us-blocks-adoption-of-un-security-council-statement-calling-for-probe,74570B16E638A25F84E4203DB52AECE2,
88,R,TheBlaze,Israel,https://www.allsides.com/story/israeli-spying-report,,,
89,R,TheBlaze,Taxes on upper-income,https://www.allsides.com/story/wealthy-might-see-taxes-rasied,,,
90,L,ThinkProgress,Foreign trade,https://www.allsides.com/story/trade-deficit-hits-decade-high,,,
91,R,Townhall,Confidence in police,https://www.allsides.com/story/chicago-police-probe-findings,http://townhall.com/tipsheet/cortneyobrien/2017/01/13/former-chicago-police-superintendent-the-justice-dept-results-were-political-and--predetermined-n2271138,165D430A139CDD6CE7DBFF36B81A43E9,
92,R,Townhall,Global warming,https://www.allsides.com/story/cnn-hosts-7-hour-town-hall-climate-change,https://townhall.com/tipsheet/bethbaumann/2019/08/27/cnn-lost-their-mind-again-guess-how-long-their-climate-change-town-hall-is-n2552283,E2363C7B0FA06203461A91BF473891A3,
93,R,Townhall,Abortion,https://www.allsides.com/story/judge-rules-clinicians-cannot-object-abortions-moral-or-religious-grounds,https://townhall.com/tipsheet/timothymeads/2019/11/06/federal-judge-rules-healthcare-clinicians-cant-refuse-abortion-based-on-religiou-n2556033,B18F91ED0F221ADD27F72869DEA8C085,
94,R,Townhall,Abortion,https://www.allsides.com/story/multiple-abortion-related-bills-move-through-state-legislatures,https://townhall.com/tipsheet/reaganmccarthy/2019/05/09/vermont-poised-to-add-abortion-language-to-constitution-n2546105,2D82C3F8FAA9B880AE4BE4D6BDEF9781,
95,R,Townhall,Gun laws,https://www.allsides.com/story/politics-and-guns,https://townhall.com/columnists/jonahgoldberg/2017/10/06/politicians-and-guns-follow-the-votes-not-the-money-n2391347,7084034C24DCA52FD5D8D57BB26E8CC2,
96,C,USA Today,Global warming,https://www.allsides.com/story/green-new-deal-dies-senate,,,
97,C,USA Today,Gun laws,https://www.allsides.com/story/gun-control-debate-after-florida-school-shooting,,,
98,C,USA Today,Abortion,https://www.allsides.com/story/multiple-abortion-related-bills-move-through-state-legislatures,,,
99,C,USA Today,Death penalty,https://www.allsides.com/story/pope-francis-declares-death-penalty-inadmissible-all-cases-changing-catholic-church-teaching,,,
100,C,USA Today,Foreign trade,https://www.allsides.com/story/president-trump-says-china-asked-trade-talks-resume,,,
101,L,Vox,Global warming,https://www.allsides.com/story/cnn-hosts-7-hour-town-hall-climate-change,https://www.vox.com/policy-and-politics/2019/9/3/20847535/cnn-climate-town-hall-2020-presidential-democrats,F3286F1B59C0693EA3AC06115E3EA352,
102,L,Vox,Confidence in police,https://www.allsides.com/story/doj-cleveland-police-reach-deal,http://www.vox.com/2015/5/26/8659965/cleveland-police-justice-department,82663BBF8B72F7A3B1666275629C6D78,
